epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3602.9,1.36185,0.57814,0.96198,0.9183,0.87278,0.93129,0.61068,1.34488,0.55528,0.9744,0.000528272,0.000528272,0.000528272
71,3672.26,1.35904,0.57936,0.96161,0.91609,0.87521,0.93235,0.61099,1.34617,0.55683,0.97423,0.000511769,0.000511769,0.000511769
72,3742.29,1.34768,0.57248,0.9616,0.91646,0.87236,0.93087,0.60981,1.3459,0.55758,0.97459,0.000495266,0.000495266,0.000495266
73,3812.12,1.34571,0.57406,0.96214,0.91358,0.87617,0.93049,0.61072,1.34401,0.55682,0.97442,0.000478762,0.000478762,0.000478762
74,3886.83,1.35524,0.5761,0.96373,0.91406,0.87547,0.93038,0.61086,1.34555,0.55686,0.97492,0.000462259,0.000462259,0.000462259
75,3961.8,1.34536,0.56912,0.96046,0.91152,0.87704,0.93086,0.61089,1.34614,0.55673,0.97513,0.000445756,0.000445756,0.000445756
76,4033.76,1.33735,0.5677,0.96027,0.91932,0.87173,0.93022,0.61077,1.34465,0.55556,0.97567,0.000429253,0.000429253,0.000429253
77,4108.88,1.34974,0.57124,0.9602,0.91503,0.87374,0.93134,0.61205,1.34505,0.55535,0.97585,0.000412749,0.000412749,0.000412749
78,4178.35,1.33374,0.56623,0.95921,0.92147,0.87013,0.93184,0.6132,1.34479,0.55374,0.97637,0.000396246,0.000396246,0.000396246
79,4251.02,1.34264,0.56713,0.95807,0.91572,0.87206,0.93087,0.6112,1.34682,0.55311,0.97721,0.000379743,0.000379743,0.000379743
80,4334.6,1.34245,0.56591,0.95913,0.91779,0.87093,0.93224,0.61199,1.34488,0.55255,0.97623,0.000363239,0.000363239,0.000363239
81,4402.41,1.33063,0.56213,0.95559,0.91597,0.87342,0.931,0.61209,1.34472,0.55315,0.97581,0.000346736,0.000346736,0.000346736
82,4451.42,1.34237,0.56415,0.95867,0.9176,0.86894,0.93122,0.612,1.34293,0.55283,0.97495,0.000330233,0.000330233,0.000330233
83,4503.69,1.33845,0.56147,0.95616,0.91397,0.8767,0.93107,0.61143,1.34328,0.55221,0.97485,0.000313729,0.000313729,0.000313729
84,4559.32,1.32661,0.55882,0.95482,0.91545,0.87453,0.93079,0.61059,1.34466,0.55262,0.97567,0.000297226,0.000297226,0.000297226
85,4624.73,1.33353,0.56057,0.9559,0.91603,0.87504,0.93125,0.61105,1.34579,0.55251,0.97638,0.000280723,0.000280723,0.000280723
86,4686.5,1.32624,0.55606,0.95543,0.91981,0.87184,0.93069,0.61039,1.34643,0.55246,0.97662,0.00026422,0.00026422,0.00026422
87,4751.63,1.31725,0.55487,0.95296,0.91691,0.87492,0.93152,0.61158,1.34635,0.55133,0.97563,0.000247716,0.000247716,0.000247716
88,4814.17,1.31882,0.55347,0.95195,0.91287,0.88008,0.93158,0.61201,1.34602,0.55083,0.97555,0.000231213,0.000231213,0.000231213
89,4884.58,1.31969,0.5547,0.9533,0.9144,0.87862,0.93252,0.61026,1.34724,0.55106,0.97653,0.00021471,0.00021471,0.00021471
90,4963.39,1.32478,0.55365,0.95284,0.91522,0.87742,0.93224,0.61132,1.34734,0.55134,0.97669,0.000198206,0.000198206,0.000198206
91,5682.75,1.32885,0.53576,0.95622,0.91396,0.87621,0.93138,0.61065,1.34762,0.55385,0.97702,0.000181703,0.000181703,0.000181703
92,5841.48,1.31866,0.52945,0.95459,0.91393,0.87619,0.93066,0.60934,1.34873,0.55539,0.97675,0.0001652,0.0001652,0.0001652
93,5898.1,1.32033,0.52875,0.95182,0.91384,0.87706,0.93016,0.60968,1.34849,0.55443,0.97666,0.000148696,0.000148696,0.000148696
94,5949.55,1.31139,0.52575,0.95019,0.91746,0.87455,0.93059,0.60952,1.34868,0.55407,0.97661,0.000132193,0.000132193,0.000132193
95,6004.39,1.31011,0.52632,0.94837,0.91827,0.87564,0.93108,0.61037,1.34836,0.55321,0.97625,0.00011569,0.00011569,0.00011569
96,6077.7,1.30805,0.52274,0.949,0.91655,0.87666,0.93108,0.61078,1.34873,0.55282,0.97665,9.91865e-05,9.91865e-05,9.91865e-05
97,6158.08,1.30858,0.52254,0.94843,0.91873,0.87364,0.93127,0.61076,1.34874,0.55248,0.97696,8.26832e-05,8.26832e-05,8.26832e-05
98,6275.31,1.30789,0.52211,0.94736,0.91775,0.87521,0.93106,0.61141,1.34782,0.55259,0.97672,6.61799e-05,6.61799e-05,6.61799e-05
99,7181.97,1.30502,0.51917,0.94922,0.91779,0.87378,0.93129,0.61182,1.34767,0.55273,0.97667,4.96766e-05,4.96766e-05,4.96766e-05
100,7256.34,1.30393,0.51874,0.9468,0.91796,0.87422,0.93101,0.6121,1.3484,0.55229,0.97684,3.31733e-05,3.31733e-05,3.31733e-05
